PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
Kyle Kuzma,Lakers,14 March 2018,16 March 2018,2,Sprained Right Ankle
OG Anunoby,Raptors,02 March 2018,15 March 2018,13,Sprained Right Ankle
Jordan Bell,Warriors,08 March 2018,14 March 2018,6,Sprained Right Ankle
Justin Anderson,76ers,14 February 2018,06 March 2018,20,Sprained Right Ankle
LaMarcus Aldridge,Spurs,03 March 2018,05 March 2018,2,Sprained Right Ankle
Raul Neto,Jazz,23 February 2018,02 March 2018,7,Sprained Right Ankle
Carmelo Anthony,Thunder,08 February 2018,13 February 2018,5,Sprained Right Ankle
Garrett Temple,Kings,28 January 2018,30 January 2018,2,Sprained Right Ankle
TJ Leaf,Pacers,26 January 2018,29 January 2018,3,Sprained Right Ankle
Stephen Curry,Warriors,10 January 2018,13 January 2018,3,Sprained Right Ankle
Anthony Davis,Pelicans,10 January 2018,12 January 2018,2,Sprained Right Ankle
Derrick Favors,Jazz,10 January 2018,12 January 2018,2,Sprained Right Ankle
Brook Lopez,Lakers,20 December 2017,03 January 2018,14,Sprained Right Ankle
Stephen Curry,Warriors,06 December 2017,30 December 2017,24,Sprained Right Ankle
Evan Fournier,Magic,09 December 2017,26 December 2017,17,Sprained Right Ankle
Jonathan Isaac,Magic,20 November 2017,17 December 2017,27,Sprained Right Ankle
Frank Kaminsky,Hornets,09 December 2017,11 December 2017,2,Sprained Right Ankle
Kristaps Porzingis,Knicks,03 December 2017,06 December 2017,3,Sprained Right Ankle
Rondae Hollis-Jefferson,Nets,27 November 2017,02 December 2017,5,Sprained Right Ankle
David Nwaba,Bulls,07 November 2017,01 December 2017,24,Sprained Right Ankle
Al-Farouq Aminu,Blazers,02 November 2017,30 November 2017,28,Sprained Right Ankle
Meyers Leonard,Blazers,01 November 2017,15 November 2017,14,Sprained Right Ankle
Bogdan Bogdanovic,Pacers,18 October 2017,23 October 2017,5,Sprained Right Ankle
DeMarcus Cousins,Pelicans,26 March 2017,29 March 2017,3,Sprained Right Ankle
JJ Redick,Clippers,26 March 2017,29 March 2017,3,Sprained Right Ankle
Brook Lopez,Nets,09 March 2017,12 March 2017,3,Sprained Right Ankle
Rajon Rondo,Bulls,06 March 2017,08 March 2017,2,Sprained Right Ankle
Kristaps Porzingis,Knicks,25 February 2017,01 March 2017,4,Sprained Right Ankle
Tyson Chandler,Suns,11 February 2017,13 February 2017,2,Sprained Right Ankle
DeMar DeRozan,Raptors,24 January 2017,29 January 2017,5,Sprained Right Ankle
D.J. Augustin,Magic,24 January 2017,27 January 2017,3,Sprained Right Ankle
Danilo Gallinari,Nuggets,19 January 2017,21 January 2017,2,Sprained Right Ankle
Dejounte Murray,Spurs,14 January 2017,19 January 2017,5,Sprained Right Ankle
Rajon Rondo,Bulls,13 December 2016,15 December 2016,2,Sprained Right Ankle
Kyle O'Quinn,Knicks,11 December 2016,13 December 2016,2,Sprained Right Ankle
Emmanuel Mudiay,Nuggets,08 December 2016,10 December 2016,2,Sprained Right Ankle
Henry Ellenson,Pistons,02 December 2016,04 December 2016,2,Sprained Right Ankle
Gary Harris,Nuggets,16 November 2016,25 November 2016,9,Sprained Right Ankle
Christian Wood,Hornets,21 November 2016,23 November 2016,2,Sprained Right Ankle
Myles Turner,Pacers,21 November 2016,23 November 2016,2,Sprained Right Ankle
Jonas Valanciunas,Raptors,09 May 2016,23 May 2016,14,Sprained Right Ankle
Stephen Curry,Warriors,18 April 2016,24 April 2016,6,Sprained Right Ankle
Kyrie Irving,Cavaliers,03 April 2016,05 April 2016,2,Sprained Right Ankle
Jae Crowder,Celtics,15 March 2016,31 March 2016,16,Sprained Right Ankle
Alex Len,Suns,19 February 2016,21 February 2016,2,Sprained Right Ankle
Carmelo Anthony,Knicks,13 January 2016,18 January 2016,5,Sprained Right Ankle
D'Angelo Russell,Lakers,08 January 2016,12 January 2016,4,Sprained Right Ankle
Austin Rivers,Clippers,26 December 2015,28 December 2015,2,Sprained Right Ankle
Carmelo Anthony,Knicks,23 December 2015,26 December 2015,3,Sprained Right Ankle
Kyle O'Quinn,Knicks,21 December 2015,26 December 2015,5,Sprained Right Ankle
Jordan Clarkson,Lakers,11 December 2015,15 December 2015,4,Sprained Right Ankle
Klay Thompson,Warriors,11 December 2015,12 December 2015,1,Sprained Right Ankle
J.J. Barea,Mavericks,28 November 2015,09 December 2015,11,Sprained Right Ankle
JJ Redick,Clippers,03 December 2015,07 December 2015,4,Sprained Right Ankle
Seth Curry,Kings,09 November 2015,13 November 2015,4,Sprained Right Ankle
Jeremy Lamb,Hornets,28 October 2015,30 October 2015,2,Sprained Right Ankle
Aron Baynes,Spurs,24 March 2015,28 March 2015,4,Sprained Right Ankle
Dwight Howard,Rockets,28 January 2015,25 March 2015,56,Sprained Right Ankle
Klay Thompson,Warriors,18 March 2015,23 March 2015,5,Sprained Right Ankle
Alex Len,Suns,14 March 2015,21 March 2015,7,Sprained Right Ankle
Jusuf Nurkic,Nuggets,27 February 2015,13 March 2015,14,Sprained Right Ankle
Alex Len,Suns,07 March 2015,09 March 2015,2,Sprained Right Ankle
Aaron Gordon,Magic,27 February 2015,04 March 2015,5,Sprained Right Ankle
Kelly Olynyk,Celtics,23 January 2015,04 March 2015,40,Sprained Right Ankle
Alex Len,Suns,06 February 2015,20 February 2015,14,Sprained Right Ankle
Ian Mahinmi,Pacers,08 February 2015,11 February 2015,3,Sprained Right Ankle
Hassan Whiteside,Heat,21 January 2015,25 January 2015,4,Sprained Right Ankle
Joakim Noah,Bulls,16 January 2015,23 January 2015,7,Sprained Right Ankle
DeMarcus Cousins,Kings,17 January 2015,19 January 2015,2,Sprained Right Ankle
Mike Conley,Grizzlies,16 January 2015,19 January 2015,3,Sprained Right Ankle
Enes Kanter,Jazz,03 January 2015,10 January 2015,7,Sprained Right Ankle
Taj Gibson,Bulls,18 December 2014,22 December 2014,4,Sprained Right Ankle
Joakim Noah,Bulls,10 December 2014,18 December 2014,8,Sprained Right Ankle
Derrick Favors,Jazz,14 December 2014,17 December 2014,3,Sprained Right Ankle
Reggie Bullock,Clippers,03 December 2014,13 December 2014,10,Sprained Right Ankle
James Johnson,Raptors,21 November 2014,24 November 2014,3,Sprained Right Ankle
Reggie Jackson,Thunder,29 October 2014,03 November 2014,5,Sprained Right Ankle
Mike Conley,Grizzlies,01 February 2014,18 February 2014,17,Sprained Right Ankle
Tyler Zeller,Cavaliers,14 December 2013,17 December 2013,3,Sprained Right Ankle
Enes Kanter,Jazz,25 November 2013,29 November 2013,4,Sprained Right Ankle
Kyle O'Quinn,Magic,24 November 2013,26 November 2013,2,Sprained Right Ankle
Tyler Zeller,Cavaliers,20 November 2013,22 November 2013,2,Sprained Right Ankle
LaMarcus Aldridge,Blazers,29 March 2013,05 April 2013,7,Sprained Right Ankle
Wesley Matthews,Blazers,19 February 2013,22 February 2013,3,Sprained Right Ankle
Stephen Curry,Warriors,31 January 2013,02 February 2013,2,Sprained Right Ankle
Ersan Ilyasova,Bucks,05 January 2013,08 January 2013,3,Sprained Right Ankle
Derrick Rose,Bulls,10 April 2012,12 April 2012,2,Sprained Right Ankle
Stephen Curry,Warriors,06 January 2012,20 January 2012,14,Sprained Right Ankle
Stephen Curry,Warriors,28 December 2011,31 December 2011,3,Sprained Right Ankle
Joakim Noah,Bulls,30 March 2011,05 April 2011,6,Sprained Right Ankle
Tyson Chandler,Mavericks,04 March 2011,09 March 2011,5,Sprained Right Ankle
Trevor Ariza,Hornets,07 February 2011,11 February 2011,4,Sprained Right Ankle
Greg Whittington,Nuggets,21 March 2021,30 March 2021,9,Sore Left Knee
Josh Hall,Thunder,03 March 2021,27 March 2021,24,Sore Left Knee
Ben Simmons,76ers,20 March 2021,21 March 2021,1,Sore Left Knee
Jakarr Sampson,Pacers,19 March 2021,21 March 2021,2,Sore Left Knee
Jeremy Lamb,Pacers,15 March 2021,19 March 2021,4,Sore Left Knee
Bradley Beal,Wizards,13 March 2021,14 March 2021,1,Sore Left Knee
Terrence Ross,Magic,11 March 2021,14 March 2021,3,Sore Left Knee
Devonte' Graham,Hornets,19 February 2021,11 March 2021,20,Sore Left Knee
Eric Gordon,Rockets,01 March 2021,11 March 2021,10,Sore Left Knee
Jeremy Lamb,Pacers,01 March 2021,03 March 2021,2,Sore Left Knee
Jaylen Brown,Celtics,28 February 2021,02 March 2021,2,Sore Left Knee
Dylan Windler,Cavaliers,15 February 2021,19 February 2021,4,Sore Left Knee
Jaylen Brown,Celtics,05 February 2021,09 February 2021,4,Sore Left Knee
Nerlens Noel,Knicks,06 February 2021,09 February 2021,3,Sore Left Knee
Jamal Murray,Nuggets,06 February 2021,08 February 2021,2,Sore Left Knee
Luguentz Dort,Thunder,04 February 2021,06 February 2021,2,Sore Left Knee
Derrick Rose,Pistons,23 January 2021,27 January 2021,4,Sore Left Knee
John Wall,Rockets,18 January 2021,23 January 2021,5,Sore Left Knee
Derrick Rose,Pistons,10 January 2021,16 January 2021,6,Sore Left Knee
Rajon Rondo,Hawks,05 January 2021,15 January 2021,10,Sore Left Knee
Ben Simmons,76ers,09 January 2021,12 January 2021,3,Sore Left Knee
Christian Wood,Rockets,06 January 2021,08 January 2021,2,Sore Left Knee
LaMarcus Aldridge,Spurs,30 December 2020,05 January 2021,6,Sore Left Knee
Rajon Rondo,Hawks,31 December 2020,04 January 2021,4,Sore Left Knee
Emmanuel Mudiay,Jazz,13 August 2020,17 August 2020,4,Sore Left Knee
Al Horford,76ers,11 August 2020,12 August 2020,1,Sore Left Knee
Emmanuel Mudiay,Jazz,08 August 2020,09 August 2020,1,Sore Left Knee
Bruce Brown,Pistons,04 March 2020,06 March 2020,2,Sore Left Knee
Kemba Walker,Celtics,21 February 2020,03 March 2020,11,Sore Left Knee
Terry Rozier,Hornets,12 February 2020,20 February 2020,8,Sore Left Knee
Brandon Knight,Pistons,07 February 2020,10 February 2020,3,Sore Left Knee
Kemba Walker,Celtics,01 February 2020,07 February 2020,6,Sore Left Knee
Brandon Knight,Cavaliers,17 January 2020,04 February 2020,18,Sore Left Knee
Al Horford,76ers,30 January 2020,01 February 2020,2,Sore Left Knee
Kemba Walker,Celtics,18 January 2020,20 January 2020,2,Sore Left Knee
Larry Nance Jr.,Cavaliers,04 January 2020,14 January 2020,10,Sore Left Knee
Domantas Sabonis,Pacers,10 January 2020,13 January 2020,3,Sore Left Knee
Joel Embiid,76ers,31 December 2019,02 January 2020,2,Sore Left Knee
Larry Nance Jr.,Cavaliers,23 December 2019,27 December 2019,4,Sore Left Knee
Jordan Bone,Pistons,23 December 2019,26 December 2019,3,Sore Left Knee
Blake Griffin,Pistons,20 December 2019,23 December 2019,3,Sore Left Knee
Derrick Rose,Pistons,21 December 2019,23 December 2019,2,Sore Left Knee
Blake Griffin,Pistons,16 December 2019,18 December 2019,2,Sore Left Knee
Al Horford,76ers,13 December 2019,15 December 2019,2,Sore Left Knee
Josh Okogie,Timberwolves,23 November 2019,25 November 2019,2,Sore Left Knee
Patrick McCaw,Raptors,21 October 2019,28 October 2019,7,Sore Left Knee
Blake Griffin,Pistons,10 April 2019,20 April 2019,10,Sore Left Knee
Joel Embiid,76ers,18 April 2019,20 April 2019,2,Sore Left Knee
Al Horford,Celtics,09 April 2019,14 April 2019,5,Sore Left Knee
Joel Embiid,76ers,09 April 2019,13 April 2019,4,Sore Left Knee
Draymond Green,Warriors,10 April 2019,12 April 2019,2,Sore Left Knee
Kostas Antetokounmpo,Mavericks,07 April 2019,09 April 2019,2,Sore Left Knee
Blake Griffin,Pistons,01 April 2019,05 April 2019,4,Sore Left Knee
Rodney McGruder,Heat,18 March 2019,03 April 2019,16,Sore Left Knee
Al Horford,Celtics,30 March 2019,01 April 2019,2,Sore Left Knee
Al Horford,Celtics,23 March 2019,26 March 2019,3,Sore Left Knee
Joel Embiid,76ers,21 February 2019,10 March 2019,17,Sore Left Knee
Evan Turner,Blazers,23 February 2019,05 March 2019,10,Sore Left Knee
Terry Rozier,Celtics,27 February 2019,01 March 2019,2,Sore Left Knee
Jeff Teague,Timberwolves,27 February 2019,28 February 2019,1,Sore Left Knee
Kawhi Leonard,Raptors,13 February 2019,22 February 2019,9,Sore Left Knee
DeMarre Carroll,Nets,11 February 2019,13 February 2019,2,Sore Left Knee
JaMychal Green,Clippers,07 February 2019,09 February 2019,2,Sore Left Knee
Kawhi Leonard,Raptors,07 February 2019,09 February 2019,2,Sore Left Knee
Mike Conley,Grizzlies,01 February 2019,03 February 2019,2,Sore Left Knee
JaMychal Green,Grizzlies,28 January 2019,30 January 2019,2,Sore Left Knee
Brandon Knight,Rockets,16 January 2019,21 January 2019,5,Sore Left Knee
Jamal Crawford,Suns,15 January 2019,20 January 2019,5,Sore Left Knee
DeMarre Carroll,Nets,07 January 2019,09 January 2019,2,Sore Left Knee
Dewayne Dedmon,Hawks,29 December 2018,02 January 2019,4,Sore Left Knee
Joel Embiid,76ers,30 December 2018,01 January 2019,2,Sore Left Knee
Jamal Crawford,Suns,26 December 2018,28 December 2018,2,Sore Left Knee
Al Horford,Celtics,10 December 2018,23 December 2018,13,Sore Left Knee
Matthew Dellavedova,Cavaliers,19 December 2018,21 December 2018,2,Sore Left Knee
Jamal Crawford,Suns,10 December 2018,13 December 2018,3,Sore Left Knee
Al Horford,Celtics,23 November 2018,24 November 2018,1,Sore Left Knee
Derrick Rose,Timberwolves,14 November 2018,16 November 2018,2,Sore Left Knee
Derrick Favors,Jazz,28 October 2018,31 October 2018,3,Sore Left Knee
Andre Iguodala,Warriors,08 April 2018,14 April 2018,6,Sore Left Knee
Andre Iguodala,Warriors,31 March 2018,07 April 2018,7,Sore Left Knee
Dennis Smith Jr.,Mavericks,04 April 2018,06 April 2018,2,Sore Left Knee
Derrick Favors,Jazz,20 March 2018,22 March 2018,2,Sore Left Knee
James Harden,Rockets,11 March 2018,12 March 2018,1,Sore Left Knee
Dennis Smith Jr.,Mavericks,10 March 2018,11 March 2018,1,Sore Left Knee
Moe Harkless,Blazers,03 March 2018,09 March 2018,6,Sore Left Knee
Kyrie Irving,Celtics,05 March 2018,08 March 2018,3,Sore Left Knee
Cody Zeller,Hornets,28 February 2018,04 March 2018,4,Sore Left Knee
Lonzo Ball,Lakers,24 February 2018,26 February 2018,2,Sore Left Knee
Paul George,Thunder,29 December 2017,31 December 2017,2,Sore Left Knee
J.R. Smith,Cavaliers,21 December 2017,25 December 2017,4,Sore Left Knee
Kristaps Porzingis,Knicks,16 December 2017,21 December 2017,5,Sore Left Knee
Serge Ibaka,Raptors,17 December 2017,20 December 2017,3,Sore Left Knee
Andre Iguodala,Warriors,01 December 2017,04 December 2017,3,Sore Left Knee
Andre Iguodala,Warriors,16 May 2017,20 May 2017,4,Sore Left Knee
Doug McDermott,Thunder,11 April 2017,16 April 2017,5,Sore Left Knee
Carmelo Anthony,Knicks,07 April 2017,12 April 2017,5,Sore Left Knee
Derrick Favors,Jazz,10 April 2017,12 April 2017,2,Sore Left Knee
Andre Roberson,Thunder,07 April 2017,09 April 2017,2,Sore Left Knee
Paul Millsap,Hawks,07 April 2017,09 April 2017,2,Sore Left Knee
D'Angelo Russell,Lakers,05 April 2017,07 April 2017,2,Sore Left Knee
P.J. Tucker,Raptors,02 April 2017,04 April 2017,2,Sore Left Knee
Carmelo Anthony,Knicks,25 March 2017,27 March 2017,2,Sore Left Knee
Nerlens Noel,Mavericks,10 March 2017,15 March 2017,5,Sore Left Knee
Carmelo Anthony,Knicks,06 March 2017,08 March 2017,2,Sore Left Knee
JaMychal Green,Grizzlies,25 January 2017,27 January 2017,2,Sore Left Knee
Patrick Patterson,Raptors,20 January 2017,22 January 2017,2,Sore Left Knee
Derrick Favors,Jazz,17 November 2016,14 December 2016,27,Sore Left Knee
D'Angelo Russell,Lakers,22 November 2016,11 December 2016,19,Sore Left Knee
D'Angelo Russell,Lakers,18 November 2016,20 November 2016,2,Sore Left Knee
Derrick Favors,Jazz,24 October 2016,28 October 2016,4,Sore Left Knee
Carmelo Anthony,Knicks,05 February 2016,07 February 2016,2,Sore Left Knee
Kemba Walker,Hornets,03 February 2016,05 February 2016,2,Sore Left Knee
Carmelo Anthony,Knicks,25 January 2016,29 January 2016,4,Sore Left Knee
Lance Thomas,Knicks,19 January 2016,26 January 2016,7,Sore Left Knee
Spencer Dinwiddie,Pistons,25 November 2015,27 November 2015,2,Sore Left Knee
Eric Bledsoe,Suns,23 November 2015,25 November 2015,2,Sore Left Knee
Joakim Noah,Bulls,09 November 2015,13 November 2015,4,Sore Left Knee
Joakim Noah,Bulls,15 April 2015,18 April 2015,3,Sore Left Knee
Carmelo Anthony,Knicks,24 January 2015,28 January 2015,4,Sore Left Knee
Carmelo Anthony,Knicks,04 January 2015,15 January 2015,11,Sore Left Knee
Carmelo Anthony,Knicks,18 December 2014,20 December 2014,2,Sore Left Knee
Carmelo Anthony,Knicks,10 December 2014,12 December 2014,2,Sore Left Knee
LeBron James,Cavaliers,11 December 2014,12 December 2014,1,Sore Left Knee
Kyle Lowry,Raptors,02 April 2014,09 April 2014,7,Sore Left Knee
Dion Waiters,Cavaliers,31 March 2013,10 April 2013,10,Sore Left Knee
Kawhi Leonard,Spurs,03 April 2013,04 April 2013,1,Sore Left Knee
Taj Gibson,Bulls,02 March 2013,21 March 2013,19,Sore Left Knee
Romeo Langford,Celtics,11 March 2021,01 April 2021,21,NBA Health and Safety Protocols
Udonis Haslem,Heat,19 March 2021,01 April 2021,13,NBA Health and Safety Protocols
Lou Williams,Hawks,25 March 2021,30 March 2021,5,NBA Health and Safety Protocols
Evan Fournier,Celtics,26 March 2021,29 March 2021,3,NBA Health and Safety Protocols
Tony Bradley,Thunder,27 March 2021,29 March 2021,2,NBA Health and Safety Protocols
Aaron Gordon,Nuggets,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
JaVale McGee,Nuggets,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
Nemanja Bjelica,Heat,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
Otto Porter Jr.,Magic,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
R.J. Hampton,Magic,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
RJ Hampton,Magic,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
Terrance Ferguson,Knicks,27 March 2021,28 March 2021,1,NBA Health and Safety Protocols
Wendell Carter Jr.,Magic,26 March 2021,28 March 2021,2,NBA Health and Safety Protocols
Isaiah Hartenstein,Cavaliers,26 March 2021,27 March 2021,1,NBA Health and Safety Protocols
James Johnson,Pelicans,26 March 2021,27 March 2021,1,NBA Health and Safety Protocols
Jeff Teague,Magic,26 March 2021,27 March 2021,1,NBA Health and Safety Protocols
Kelly Olynyk,Rockets,26 March 2021,27 March 2021,1,NBA Health and Safety Protocols
Matt Thomas,Jazz,26 March 2021,27 March 2021,1,NBA Health and Safety Protocols
Wes Iwundu,Pelicans,26 March 2021,27 March 2021,1,NBA Health and Safety Protocols
Anfernee Simons,Blazers,23 March 2021,25 March 2021,2,NBA Health and Safety Protocols
LaMarcus Aldridge,Spurs,10 March 2021,25 March 2021,15,NBA Health and Safety Protocols
Meyers Leonard,Thunder,17 March 2021,25 March 2021,8,NBA Health and Safety Protocols
Nassir Little,Blazers,23 March 2021,25 March 2021,2,NBA Health and Safety Protocols
Alize Johnson,Nets,23 March 2021,24 March 2021,1,NBA Health and Safety Protocols
Jordan McLaughlin,Timberwolves,10 March 2021,24 March 2021,14,NBA Health and Safety Protocols
Eric Paschall,Warriors,17 March 2021,23 March 2021,6,NBA Health and Safety Protocols
James Johnson,Mavericks,16 March 2021,23 March 2021,7,NBA Health and Safety Protocols
James Wiseman,Warriors,17 March 2021,23 March 2021,6,NBA Health and Safety Protocols
Derrick Rose,Knicks,02 March 2021,22 March 2021,20,NBA Health and Safety Protocols
Devon Dotson,Bulls,18 March 2021,22 March 2021,4,NBA Health and Safety Protocols
Cameron Johnson,Suns,04 March 2021,21 March 2021,17,NBA Health and Safety Protocols
Kevon Looney,Warriors,20 March 2021,21 March 2021,1,NBA Health and Safety Protocols
P.J. Tucker,Bucks,12 March 2021,20 March 2021,8,NBA Health and Safety Protocols
Kostas Antetokounmpo,Lakers,11 March 2021,19 March 2021,8,NBA Health and Safety Protocols
Marc Gasol,Lakers,02 March 2021,19 March 2021,17,NBA Health and Safety Protocols
OG Anunoby,Raptors,02 March 2021,18 March 2021,16,NBA Health and Safety Protocols
Dennis Smith Jr.,Pistons,12 March 2021,17 March 2021,5,NBA Health and Safety Protocols
Fred VanVleet,Raptors,02 March 2021,17 March 2021,15,NBA Health and Safety Protocols
Hassan Whiteside,Kings,24 February 2021,17 March 2021,21,NBA Health and Safety Protocols
Pascal Siakam,Raptors,26 February 2021,17 March 2021,19,NBA Health and Safety Protocols
Patrick McCaw,Raptors,02 March 2021,17 March 2021,15,NBA Health and Safety Protocols
Svi Mykhailiuk,Thunder,14 March 2021,16 March 2021,2,NBA Health and Safety Protocols
Ben Simmons,76ers,11 March 2021,14 March 2021,3,NBA Health and Safety Protocols
Joel Embiid,76ers,11 March 2021,12 March 2021,1,NBA Health and Safety Protocols
Markus Howard,Nuggets,01 March 2021,12 March 2021,11,NBA Health and Safety Protocols
Facundo Campazzo,Nuggets,01 March 2021,11 March 2021,10,NBA Health and Safety Protocols
Mamadi Diakite,Bucks,04 March 2021,11 March 2021,7,NBA Health and Safety Protocols
Derrick White,Spurs,02 March 2021,10 March 2021,8,NBA Health and Safety Protocols
Rudy Gay,Spurs,24 February 2021,10 March 2021,14,NBA Health and Safety Protocols
Jrue Holiday,Bucks,08 February 2021,28 February 2021,20,NBA Health and Safety Protocols
Jakarr Sampson,Pacers,26 February 2021,27 February 2021,1,NBA Health and Safety Protocols
Jabari Parker,Kings,25 February 2021,26 February 2021,1,NBA Health and Safety Protocols
Adam Mokoka,Bulls,22 February 2021,24 February 2021,2,NBA Health and Safety Protocols
Adam Mokoka,Bulls,19 February 2021,20 February 2021,1,NBA Health and Safety Protocols
Cody Martin,Hornets,12 February 2021,20 February 2021,8,NBA Health and Safety Protocols
PJ Washington,Hornets,12 February 2021,20 February 2021,8,NBA Health and Safety Protocols
Adam Mokoka,Bulls,15 February 2021,17 February 2021,2,NBA Health and Safety Protocols
Frank Ntilikina,Knicks,09 February 2021,17 February 2021,8,NBA Health and Safety Protocols
Theo Maledon,Thunder,07 February 2021,16 February 2021,9,NBA Health and Safety Protocols
Jalen Smith,Suns,14 February 2021,15 February 2021,1,NBA Health and Safety Protocols
Jalen McDaniels,Hornets,12 February 2021,14 February 2021,2,NBA Health and Safety Protocols
Kevin Durant,Nets,06 February 2021,13 February 2021,7,NBA Health and Safety Protocols
Tyler Herro,Heat,11 February 2021,12 February 2021,1,NBA Health and Safety Protocols
Dennis Smith Jr.,Pistons,09 February 2021,11 February 2021,2,NBA Health and Safety Protocols
Adam Mokoka,Bulls,05 February 2021,08 February 2021,3,NBA Health and Safety Protocols
Grayson Allen,Grizzlies,29 January 2021,06 February 2021,8,NBA Health and Safety Protocols
Jonas Valanciunas,Grizzlies,17 January 2021,05 February 2021,19,NBA Health and Safety Protocols
Juancho Hernangomez,Timberwolves,14 January 2021,01 February 2021,18,NBA Health and Safety Protocols
Maxi Kleber,Mavericks,10 January 2021,01 February 2021,22,NBA Health and Safety Protocols
Norvel Pelle,Nets,29 January 2021,31 January 2021,2,NBA Health and Safety Protocols
Damian Jones,Suns,17 January 2021,30 January 2021,13,NBA Health and Safety Protocols
Deni Avdija,Wizards,24 January 2021,30 January 2021,6,NBA Health and Safety Protocols
Ish Smith,Wizards,24 January 2021,30 January 2021,6,NBA Health and Safety Protocols
Jimmy Butler,Heat,16 January 2021,30 January 2021,14,NBA Health and Safety Protocols
Trent Forrest,Jazz,23 January 2021,30 January 2021,7,NBA Health and Safety Protocols
Troy Brown Jr.,Wizards,24 January 2021,30 January 2021,6,NBA Health and Safety Protocols
Kawhi Leonard,Clippers,25 January 2021,29 January 2021,4,NBA Health and Safety Protocols
Paul George,Clippers,25 January 2021,29 January 2021,4,NBA Health and Safety Protocols
Davis Bertans,Wizards,24 January 2021,28 January 2021,4,NBA Health and Safety Protocols
Moritz Wagner,Wizards,12 January 2021,28 January 2021,16,NBA Health and Safety Protocols
Rui Hachimura,Wizards,24 January 2021,28 January 2021,4,NBA Health and Safety Protocols
Avery Bradley,Heat,16 January 2021,27 January 2021,11,NBA Health and Safety Protocols
Dorian Finney-Smith,Mavericks,08 January 2021,27 January 2021,19,NBA Health and Safety Protocols
Dwight Powell,Mavericks,12 January 2021,27 January 2021,15,NBA Health and Safety Protocols
Grant Riller,Hornets,24 January 2021,27 January 2021,3,NBA Health and Safety Protocols
Josh Richardson,Mavericks,08 January 2021,27 January 2021,19,NBA Health and Safety Protocols
Jayson Tatum,Celtics,15 January 2021,25 January 2021,10,NBA Health and Safety Protocols
Devon Dotson,Bulls,22 January 2021,23 January 2021,1,NBA Health and Safety Protocols
Mo Bamba,Magic,14 January 2021,23 January 2021,9,NBA Health and Safety Protocols
Chandler Hutchison,Bulls,31 December 2020,22 January 2021,22,NBA Health and Safety Protocols
Jalen Smith,Suns,07 January 2021,22 January 2021,15,NBA Health and Safety Protocols
Michael Porter Jr.,Nuggets,01 January 2021,22 January 2021,21,NBA Health and Safety Protocols
Ricky Rubio,Timberwolves,18 January 2021,22 January 2021,4,NBA Health and Safety Protocols
Juwan Morgan,Jazz,05 January 2021,19 January 2021,14,NBA Health and Safety Protocols
Devon Dotson,Bulls,14 January 2021,18 January 2021,4,NBA Health and Safety Protocols
Jalen Brunson,Mavericks,08 January 2021,18 January 2021,10,NBA Health and Safety Protocols
Luke Kornet,Bulls,14 January 2021,18 January 2021,4,NBA Health and Safety Protocols
Bam Adebayo,Heat,11 January 2021,16 January 2021,5,NBA Health and Safety Protocols
Goran Dragic,Heat,11 January 2021,16 January 2021,5,NBA Health and Safety Protocols
Kendrick Nunn,Heat,11 January 2021,16 January 2021,5,NBA Health and Safety Protocols
KZ Okpala,Heat,11 January 2021,16 January 2021,5,NBA Health and Safety Protocols
Moe Harkless,Heat,11 January 2021,16 January 2021,5,NBA Health and Safety Protocols
Udonis Haslem,Heat,11 January 2021,16 January 2021,5,NBA Health and Safety Protocols
Victor Oladipo,Rockets,14 January 2021,16 January 2021,2,NBA Health and Safety Protocols
Lauri Markkanen,Bulls,31 December 2020,15 January 2021,15,NBA Health and Safety Protocols
Ryan Arcidiacono,Bulls,31 December 2020,15 January 2021,15,NBA Health and Safety Protocols
Tobias Harris,76ers,09 January 2021,14 January 2021,5,NBA Health and Safety Protocols
Tristan Thompson,Celtics,08 January 2021,14 January 2021,6,NBA Health and Safety Protocols
Zion Williamson,Pelicans,13 January 2021,14 January 2021,1,NBA Health and Safety Protocols
Eric Paschall,Warriors,12 January 2021,13 January 2021,1,NBA Health and Safety Protocols
Tyler Johnson,Nets,08 January 2021,13 January 2021,5,NBA Health and Safety Protocols
Taj Gibson,Knicks,08 January 2021,12 January 2021,4,NBA Health and Safety Protocols
Jabari Parker,Kings,06 January 2021,11 January 2021,5,NBA Health and Safety Protocols
Bradley Beal,Wizards,09 January 2021,10 January 2021,1,NBA Health and Safety Protocols
Kevin Durant,Nets,04 January 2021,10 January 2021,6,NBA Health and Safety Protocols
Javonte Green,Celtics,30 December 2020,08 January 2021,9,NBA Health and Safety Protocols
Alex Caruso,Lakers,28 December 2020,06 January 2021,9,NBA Health and Safety Protocols
Rajon Rondo,Hawks,22 December 2020,26 December 2020,4,NBA Health and Safety Protocols
Terrence Ross,Magic,21 March 2021,30 March 2021,9,Sore Right Knee
Hassan Whiteside,Kings,25 March 2021,26 March 2021,1,Sore Right Knee
